MiB,numfiles,delay,N,fpt,run,seconds
5,15,100,1,1,3,17.51328420639038
5,15,100,1,1,4,17.526384830474854
5,15,100,1,1,5,17.51677656173706
5,15,100,1,3,1,17.52504801750183
5,15,100,1,3,2,17.53355121612549
5,15,100,1,3,3,17.535862922668457
5,15,100,1,3,4,17.53060507774353
5,15,100,1,3,5,17.531609058380127
5,15,100,2,1,1,19.525306224822998
5,15,100,2,1,2,19.533226013183594
5,15,100,2,1,3,19.52517342567444
5,15,100,2,1,4,19.53459334373474
5,15,100,2,1,5,19.535887241363525
5,15,100,2,3,1,19.531551361083984
5,15,100,2,3,2,19.524739503860474
5,15,100,2,3,3,19.52654719352722
5,15,100,2,3,4,19.54214835166931
5,15,100,2,3,5,19.52806305885315
5,15,100,3,1,1,20.55071449279785
5,15,100,3,1,2,20.59046697616577
5,15,100,3,1,3,20.602702379226685
5,15,100,3,1,4,20.54151153564453
5,15,100,3,1,5,20.543145179748535
5,15,100,3,3,1,20.530202865600586
5,15,100,3,3,2,20.54018211364746
5,15,100,3,3,3,20.5517520904541
5,15,100,3,3,4,20.551473379135132
5,15,100,3,3,5,20.525714635849
5,15,100,4,1,1,22.55064630508423
5,15,100,4,1,2,22.55974793434143
5,15,100,4,1,3,22.548362493515015
5,15,100,4,1,4,22.555002689361572
5,15,100,4,1,5,22.551459789276123
5,15,100,4,3,1,22.563448905944824
5,15,100,4,3,2,22.542644739151
5,15,100,4,3,3,22.550952672958374
5,15,100,4,3,4,22.533754110336304
5,15,100,4,3,5,22.55189824104309
5,15,100,8,1,1,29.57430076599121
5,15,100,8,1,2,29.57618546485901
5,15,100,8,1,3,29.578182220458984
5,15,100,8,1,4,29.55418300628662
5,15,100,8,1,5,29.57507038116455
5,15,100,8,3,1,29.571139097213745
5,15,100,8,3,2,29.56717801094055
5,15,100,8,3,3,29.568411111831665
5,15,100,8,3,4,29.572808504104614
5,15,100,8,3,5,29.63714098930359
10,1,0,1,1,1,1.4796037673950195
10,1,0,1,1,2,1.4741826057434082
10,1,0,1,1,3,1.496467113494873
10,1,0,1,1,4,1.4851672649383545
10,1,0,1,1,5,1.4715397357940674
10,1,0,1,3,1,1.4793992042541504
10,1,0,1,3,2,1.473869800567627
10,1,0,1,3,3,1.4937279224395752
10,1,0,1,3,4,1.4810738563537598
10,1,0,1,3,5,1.4738385677337646
10,1,0,2,1,1,1.488361120223999
10,1,0,2,1,2,1.490837812423706
10,1,0,2,1,3,1.473348617553711
10,1,0,2,1,4,1.4853758811950684
10,1,0,2,1,5,1.480320930480957
10,1,0,2,3,1,1.485105037689209
10,1,0,2,3,2,1.4749329090118408
10,1,0,2,3,3,1.4811170101165771
10,1,0,2,3,4,1.4892466068267822
10,1,0,2,3,5,1.473975658416748
10,1,0,3,1,1,1.4820787906646729
10,1,0,3,1,2,1.4760997295379639
10,1,0,3,1,3,1.4792563915252686
10,1,0,3,1,4,1.4807438850402832
10,1,0,3,1,5,1.478560209274292
10,1,0,3,3,1,1.4938764572143555
10,1,0,3,3,2,1.4719874858856201
10,1,0,3,3,3,1.494901418685913
10,1,0,3,3,4,1.485990047454834
10,1,0,3,3,5,1.492154836654663
10,1,0,4,1,1,1.4859235286712646
10,1,0,4,1,2,1.4938876628875732
10,1,0,4,1,3,1.4840357303619385
10,1,0,4,1,4,1.4898288249969482
10,1,0,4,1,5,1.4940288066864014
10,1,0,4,3,1,1.4816462993621826
10,1,0,4,3,2,1.4862263202667236
10,1,0,4,3,3,1.4766697883605957
10,1,0,4,3,4,1.4812514781951904
10,1,0,4,3,5,1.4865241050720215
10,1,0,8,1,1,1.500122308731079
10,1,0,8,1,2,1.5383296012878418
10,1,0,8,1,3,1.4838497638702393
10,1,0,8,1,4,1.4860217571258545
10,1,0,8,1,5,1.4836926460266113
10,1,0,8,3,1,1.4779863357543945
10,1,0,8,3,2,1.486830472946167
10,1,0,8,3,3,1.4811575412750244
10,1,0,8,3,4,1.4785137176513672
10,1,0,8,3,5,1.480973482131958
10,1,50,1,1,1,3.4755003452301025
10,1,50,1,1,2,3.506577968597412
10,1,50,1,1,3,3.482377767562866
10,1,50,1,1,4,3.492547035217285
